전/월세,보증금,월세,공급면적,전용면적,층,남향
0,5000,108,29,29,6,0
1,19000,0,29,29,6,0
0,0,50,33,33,3,1
0,3000,115,46,29,6,0
0,3000,115,46,29,6,0
0,8000,45,36,32,4,0
1,25000,0,41,37,2,1
0,13000,45,38,37,3,0
0,4000,50,33,33,2,0
1,27000,0,48,29,5,0
0,2000,90,39,39,3,0
1,15000,0,18,14,5,0
1,25000,0,50,49,3,0
0,25000,25,32,26,5,0
1,15000,0,18,14,5,0
1,29500,0,32,26,5,0
0,1000,75,31,31,5,0
0,1500,120,122,40,4,1
1,27000,0,48,29,5,0
0,3000,80,20,20,5,0
0,3000,45,25,20,3,0
1,29500,0,35,26,6,0
1,13000,0,33,30,2,0
1,38000,0,62,47,12,0
0,2000,90,41,41,3,0
0,0,55,41,24,6,0
1,21000,0,33,29,5,0
0,0,60,21,21,3,0
1,17000,0,23,17,5,0
1,33000,0,40,29,5,0
1,22000,0,32,24,5,1
1,50000,0,32,26,6,1
1,45000,0,35,29,5,0
1,18000,0,27,23,5,0
0,2000,90,33,33,3,0
1,27600,0,37,29,5,0
0,1000,80,48,30,7,0
0,3000,80,27,25,5,0
0,2000,75,37,37,2,0
1,18000,0,23,23,5,1
0,1000,48,20,18,4,0
1,30000,0,32,26,6,1
0,1000,70,70,37,19,0
1,18000,0,23,17,5,1
0,25000,20,32,26,6,0
1,22000,0,31,25,6,0
0,2000,45,32,21,6,0
0,1000,75,30,25,5,0
0,4000,50,27,26,2,0
0,3000,45,20,20,3,0
0,2000,120,228,40,7,0
0,5000,75,49,44,3,0
1,30000,0,42,37,5,0
0,1000,65,20,14,5,0
0,3400,115,30,22,5,0
0,1000,50,20,20,3,1
1,30000,0,29,22,5,0
0,13000,45,37,36,3,0
1,29500,0,34,27,6,0
0,5000,75,89,42,3,0
0,1000,45,36,36,3,0
1,19000,0,42,29,6,1
1,18000,0,23,23,5,0
0,1000,120,60,50,3,0
0,2000,90,47,43,4,1
0,2000,80,35,35,2,0
1,4200,0,25,23,3,0
0,0,40,88,19,3,0
0,0,40,16,16,3,0
0,1000,150,73,30,2,0
0,1000,70,29,20,3,0
0,1000,50,21,20,3,1
0,2000,90,50,42,3,0
1,7500,0,93,16,4,0
1,16000,0,23,17,5,0
1,45000,0,35,28,6,0
1,25000,0,58,49,4,1
0,1000,80,70,37,19,0
1,18000,0,25,19,5,0
0,1000,100,50,16,5,0
0,1000,50,50,24,4,0
1,30000,0,42,37,5,0
0,1000,50,50,24,4,0
